"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,0,0
"2",0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,0,1,0,1,1,0
"3",0,0,0,1,0,1,2,2,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,2,2,2,1,0,1,0,0,1,1,0,1,2,2,1,1,1,1,1,1
"4",0,0,0,0,1,1,2,1,1,1,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,1,1,1,2,2,1,0,0,0,0,1,1,1,1,2,2,2,1,1,1,0,1
"5",0,1,0,0,0,1,2,1,1,2,2,1,1,0,1,1,1,1,0,0,1,1,0,0,1,2,2,1,1,1,2,1,2,1,0,0,1,2,2,1,1,2,2,2,1,1,1,1,1,1
"6",0,0,1,0,1,1,2,1,0,1,1,0,1,0,0,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,0,1,2,0,1,0,0,1,1,0,2,2,1,1,1,1,1,1,2,2
"7",1,1,2,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,2,0,1,2,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,2,2,1,1,0,0,1,0,0
"8",1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,2,2,2,1,1,2,1,2,2,0,0,2,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
"9",0,1,2,2,1,0,1,1,1,1,1,1,0,0,0,1,2,2,2,1,1,0,2,1,1,2,1,1,2,2,1,1,1,1,1,0,1,0,0,1,2,1,1,1,1,1,1,2,1,0
"10",0,1,2,2,1,0,1,1,1,1,1,0,0,0,0,1,2,2,2,2,1,0,2,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,1,0,1,1,1,1,2,2,1,1,0,1
"11",1,1,1,2,2,0,1,0,1,1,1,0,0,0,0,1,2,1,1,2,1,0,0,1,1,2,2,1,1,0,0,1,2,1,1,2,2,1,1,0,1,1,1,1,1,2,1,1,0,1
"12",0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,2,1,0,1,1,1,0,0,0,1,2,2,1,1,0,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,2,0,0,1
"13",1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,2,1,1,0,1,2,1,1,1,1,2,2,1,2,1,0,0,0,1,2,2,1,1,2,1,1,2
"14",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,0,0,1,1,1,1,1,1,1,1,1
"15",1,1,1,1,1,2,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,0,1,2,2,0,1,0,1,1,1,2,1,2,1,1,1,2,1,0,0,0,1,1,1,1,1,1,1,2
"16",1,1,2,1,2,2,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,1,2,1,0,0,0,1,1,2,1,1,1,1,1
"17",1,2,2,2,1,1,0,0,0,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,1,1,1,2,0,0,0,0,0,0,1,2,2,1,1,1,1
"18",1,2,2,1,1,1,0,1,2,1,1,2,2,0,2,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,2,2,1,1,2,1,2,1,0,0,1,0,1,1,2,2,2,1,2,1
"19",2,1,2,2,1,1,1,2,2,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,1,2,1,1,0,0,1,0,1,1,1,0,0,1,1,1,2,2,2,1,1
"20",1,2,1,2,0,1,1,2,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,1,1,1,1,0,0,0,0,0,0,2,1,1,1,2,1
"21",1,1,2,2,2,1,1,1,1,0,0,0,1,2,2,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,2,1,1,1
"22",2,2,2,1,2,1,0,2,1,0,0,0,1,2,2,2,1,1,1,0,1,2,1,1,2,1,1,0,0,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,2
"23",2,2,2,1,2,1,1,1,2,1,0,0,1,1,2,2,2,1,1,1,1,1,0,1,1,0,0,1,1,1,0,2,2,1,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1
"24",2,2,1,1,2,2,2,1,1,2,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,1,1,0
"25",2,2,1,1,2,2,1,1,1,2,1,1,1,1,0,0,1,1,1,0,1,1,2,2,2,2,1,1,0,1,1,1,2,1,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0
"26",2,2,1,1,1,2,2,2,2,1,1,0,1,2,1,1,0,0,0,0,1,1,1,1,2,2,1,0,0,0,1,2,2,2,1,1,1,1,2,2,1,2,1,0,1,1,0,0,0,0
"27",2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,1,0,0,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,0,1,1,2,2,2,1,1,1,1,0,1,1,0
